total_fpackets,total_fvolume,max_fpktl,max_bpktl,duration,fpsh_cnt,total_fhlen,label
10,1463,584,2878,790394,3,212,1
9,1403,584,2878,804635,3,192,1
240,48710,1466,4443,786338,163,4836,1
12,1371,269,1466,966558,5,252,1
10,1494,617,2878,246951,3,212,1
9,1203,386,2878,671056,3,192,1
4,722,298,66,800557,2,92,1
5,466,208,66,644947,1,136,1
7,757,359,82,15192,3,176,1
9,1388,269,1466,693201,4,204,1
10,1685,386,1466,490015,5,212,1
5,454,208,593,891250,1,112,1
5,454,208,593,882092,1,112,1
5,454,208,593,212821,1,112,1
387,156177,2878,4290,454512,273,8180,1
20,6934,1806,964,849535,9,412,1
8,640,208,593,156171,1,184,1
6,1175,801,964,246191,2,132,1
15,3106,980,2484,603309,7,336,1
96,273708,8526,2878,661460,41,1956,1
7,864,269,1466,876950,2,184,1
11,1443,386,1466,228141,4,232,1
404,307520,2878,3172,644336,312,8236,1
6,514,208,593,192932,1,132,1
12,1835,584,2878,463178,5,276,1
61,121714,8275,2878,917940,19,1244,1
13,1639,269,1466,431652,6,272,1
8,1374,617,1466,628046,3,172,1
27,68797,8526,1632,883054,12,596,1
16,6956,1877,964,880706,9,332,1
13,1895,584,1466,394565,5,296,1
9,1440,617,2878,259286,3,204,1
9,1203,386,2878,696493,3,192,1
20,7978,1466,1514,971670,10,448,1
16,6698,1807,964,168956,9,332,1
9,1403,584,2878,282668,3,192,1
11,1323,386,1466,94793,3,232,1
12,1669,357,2485,71410,6,252,1
8,1374,617,2878,883018,3,172,1
5,454,208,593,192267,1,112,1
8,1374,617,2878,883164,3,172,1
191,48760,1581,5435,862045,133,3844,1
8,1343,584,2878,285737,3,172,1
14,1915,269,1466,474201,7,304,1
3,697,571,66,187719,1,72,1
14,2921,1332,5435,143684,10,292,1
3,397,271,1466,546769,1,72,1
5,454,208,593,542706,1,112,1
5,637,271,2878,237087,2,112,1
11,1299,571,2878,168958,3,244,1
12,1371,269,2486,653553,5,252,1
26,3821,1332,4023,717878,17,532,1
12,1365,571,2878,173801,3,276,1
8,1143,386,1466,649954,3,172,1
6,662,208,593,980382,2,132,1
5,637,271,1466,237087,2,112,1
10,1380,648,662,533569,4,236,1
1661,312503,1466,42414,855762,963,35524,1
11,1323,386,1466,594961,3,232,1
14,1649,269,2484,65301,6,304,1
12,1371,269,2485,807097,5,252,1
9,1434,617,2878,387767,3,192,1
5,454,208,593,226054,1,112,1
9,1434,617,2878,751062,3,192,1
1575,222494,1466,35354,170860,680,37296,1
2149,368495,1466,26882,889452,912,50592,1
3470,760756,1613,5702,50122,2477,72088,1
2731,164020,208,593,563974,1,54644,1
12,1372,269,2485,260625,5,252,1
9,1437,620,2878,44629,3,192,1
9,1203,386,2878,487683,3,192,1
10,1497,620,2878,61433,3,212,1
10,1494,617,2878,61433,3,212,1
9,1434,617,2878,632702,3,192,1
9,1437,620,1466,33818,3,192,1
360,63224,1466,6089,81871,254,7236,1
12,1372,269,1466,279982,5,252,1
5,454,208,593,252294,1,112,1
270,50809,1466,13683,213584,180,5820,1
10,1263,386,1466,274138,3,212,1
9,1404,585,2878,689878,3,192,1
459,287942,2878,6089,88648,349,9384,1
11,1312,269,1466,586000,5,232,1
10,1464,585,2878,796253,3,212,1
10,1464,585,1466,686746,3,212,1
12,1997,706,1466,150980,6,252,1
9,1437,620,2878,287766,3,192,1
9,1437,620,2878,287766,3,192,1
6,514,208,593,526486,1,132,1
10,1497,620,2878,287766,3,212,1
10,1263,386,1466,692775,3,212,1
528,59941,1332,5435,940488,185,10620,1
15,2013,357,2486,537199,7,336,1
10,1263,386,2878,920524,3,212,1
327,53886,1332,6089,234580,215,6552,1
5,454,208,593,241816,1,112,1
10,1465,586,2878,232956,3,212,1
6,514,208,593,654965,1,132,1
9,1405,586,2878,232956,3,192,1
169,28436,1332,4530,79205,125,3392,1
7,1318,621,2878,317748,3,152,1
8,1378,621,2878,324322,3,172,1
8,1378,621,2878,317577,3,172,1
10,1465,586,2878,238146,3,212,1
14,1650,269,2485,592795,6,304,1
10,1263,386,2878,740243,3,212,1
285,53569,1332,5435,465145,220,5784,1
15,2158,357,2484,758744,7,336,1
9,1203,386,2878,250911,3,192,1
6,514,208,593,552061,1,132,1
13,1647,269,2485,690715,6,284,1
6,514,208,593,295449,1,132,1
24,5167,1466,5435,237739,18,504,1
1,66,66,66,824778,0,32,1
1,66,66,66,709091,0,32,1
7,1011,571,3774,454092,2,152,1
11,844,208,593,279106,1,292,1
18,2192,571,6254,413435,5,372,1
1,66,66,66,748859,0,32,1
10,2277,1140,2763,559101,4,212,1
5,454,208,593,427368,1,112,1
12,1372,269,2484,573417,5,252,1
8,1218,634,5739,722992,2,184,1
9,1203,386,2878,679423,3,192,1
1,66,66,66,802304,0,32,1
12,2063,634,5739,700326,5,252,1
12,1823,571,1294,568564,5,252,1
1,66,66,66,794740,0,32,1
1,66,66,66,464008,0,32,1
1,66,66,66,17912,0,32,1
207,33178,1332,5435,176150,145,4188,1
9,1438,621,2878,138312,3,192,1
9,1438,621,2878,138208,3,192,1
6,514,208,593,560547,1,132,1
20,2915,356,2485,38630,9,460,1
10,1263,386,2878,542955,3,212,1
665,159743,2878,8588,428496,536,13444,1
11,1558,621,2878,144798,3,232,1
9,2393,1140,2762,297044,4,192,1
12,1370,269,2485,770395,5,252,1
8,1345,586,2878,388056,3,172,1
82,15675,1436,4290,676951,67,1652,1
8,1345,586,2878,388056,3,172,1
10,1263,386,2878,215743,3,212,1
7,1285,586,2878,388056,3,152,1
6,514,208,593,647453,1,132,1
7,1285,586,2878,325537,3,152,1
8,1378,621,2878,300476,3,172,1
23,3653,1332,4290,59233,14,496,1
11,1329,386,2878,749911,3,244,1
17,2102,269,2485,446362,7,376,1
7,1285,586,2878,352978,3,152,1
8,1345,586,1466,363809,3,172,1
5,454,208,593,235009,1,112,1
145,23556,1332,5435,47910,106,2936,1
8,1378,621,1466,300476,3,172,1
8,1378,621,2878,300476,3,172,1
9,1203,386,2878,767026,3,192,1
9,1438,621,2878,209116,3,192,1
9,1405,586,2878,522201,3,192,1
9,1405,586,2878,692739,3,192,1
6,514,208,593,533926,1,132,1
9,1438,621,2878,211040,3,192,1
9,1405,586,2878,691934,3,192,1
124,21035,1332,5435,53333,96,2492,1
9,3178,1134,2762,318295,4,192,1
10,1498,621,2878,211390,3,212,1
12,1372,269,2485,378236,5,252,1
7,1318,621,2878,607695,3,152,1
109,17755,1332,5435,677545,82,2192,1
8,1378,621,2878,607695,3,172,1
15,2441,586,2878,400256,5,372,1
7,1318,621,2878,633183,3,152,1
12,1370,269,2485,388027,5,252,1
1085,65260,208,593,562461,1,21724,1
13,2315,586,2878,299605,5,320,1
10,1263,386,2878,585151,3,212,1
13,2315,586,2878,299605,5,320,1
12,1372,269,2484,41142,5,252,1
8,2327,1134,2761,899384,4,172,1
13,3322,1159,1514,462914,7,272,1
14,994,208,593,248141,1,292,1
398,373747,1581,4850,430190,345,7972,1
47,2974,208,593,182788,1,952,1
9,1203,386,1466,980656,3,192,1
7,1318,621,2878,337376,3,152,1
8,1378,621,2878,337376,3,172,1
8,1345,586,2878,361258,3,172,1
8,1378,621,2878,337376,3,172,1
95,588241,8526,4456,761891,86,1912,1
9,2393,1140,2763,209717,4,192,1
7,1285,586,2878,352155,3,152,1
12,1372,269,2485,277436,5,252,1
8,1345,586,2878,352155,3,172,1
7,1285,586,2878,594137,3,152,1
8,1345,586,2878,544289,3,172,1
7,1318,621,2878,325940,3,152,1
10,1263,386,2878,153351,3,212,1
1853,111340,208,593,894349,1,37084,1
7,1285,586,2878,318019,3,152,1
12,1372,269,2485,24997,5,252,1
8,1378,621,2878,317040,3,172,1
8,1378,621,2878,573997,3,172,1
118,21701,1332,2948,595927,93,2384,1
5,454,208,593,247562,1,112,1
456,27520,208,593,522746,1,9144,1
12,1372,269,2485,37243,5,252,1
232,40801,1381,6089,414259,159,4664,1
9,2387,1134,2763,408953,4,192,1
10,1263,386,2878,799996,3,212,1
17,2202,269,2485,905584,8,388,1
5,454,208,593,238951,1,112,1
144,23878,1466,4530,354280,104,2964,1
5,454,208,593,268239,1,112,1
8,1378,621,1466,303670,3,172,1
132,21770,1333,1700,495923,96,2652,1
8,1378,621,2878,292836,3,172,1
7,1285,586,1466,309202,3,152,1
8,1378,621,2878,292836,3,172,1
10,1263,386,2878,742888,3,212,1
8,1345,586,2878,299527,3,172,1
8,1345,586,2878,361227,3,172,1
12,1372,269,2485,60445,5,252,1
12,1371,269,2485,44848,5,252,1
8,1345,586,1466,348089,3,172,1
8,1345,586,1466,348089,3,172,1
8,1345,586,1466,562031,3,172,1
5,454,208,593,249719,1,112,1
80,16482,1466,2878,481374,61,1636,1
8,1378,621,2878,347345,3,172,1
7,1318,621,2878,295767,3,152,1
12,1635,386,1466,832137,5,276,1
10,2651,1140,2762,786589,5,212,1
8,1378,621,2878,298455,3,172,1
12,1372,269,2485,199065,5,252,1
76,4714,208,593,554793,1,1532,1
7,1083,386,2878,369519,3,152,1
69,11705,1332,5435,977627,57,1392,1
12,1762,621,2878,887343,4,300,1
13,1822,621,2878,887343,4,320,1
12,1762,621,2878,887343,4,300,1
9,1203,386,2878,895721,3,192,1
10,1465,586,2878,245565,3,212,1
10,1465,586,2878,245564,3,212,1
249,49826,1466,6089,541002,187,5088,1
12,1372,269,1466,410386,5,252,1
9,1405,586,2878,245611,3,192,1
6,514,208,593,553773,1,132,1
222,38964,1581,4731,386672,140,4624,1
7,1318,621,2878,331549,3,152,1
11,1323,386,2878,129588,3,232,1
8,1378,621,2878,331548,3,172,1
8,1345,586,2878,511405,3,172,1
12,1371,269,2485,54007,5,252,1
8,1378,621,2878,331548,3,172,1
7,1285,586,2878,510543,3,152,1
8,1345,586,2878,385569,3,172,1
5,454,208,593,280100,1,112,1
10,3276,2042,2565,562036,4,212,0
30,10045,1653,6147,298982,10,624,0
12,1319,571,2102,794699,2,300,0
11,1264,571,4150,898853,2,232,0
19,11660,4551,6246,572270,8,392,0
7,1097,657,325,917353,2,152,0
16,3075,842,4290,709391,6,332,0
8,1055,571,2878,136866,2,172,0
11,1981,643,1445,116662,6,232,0
9,3291,2117,5389,520189,4,192,0
9,1183,571,5494,273622,2,204,0
14,10447,4552,4834,344584,6,292,0
20,4431,1640,5702,313097,9,412,0
8,1061,571,4290,343330,2,184,0
37,3284,571,18410,472845,5,752,0
9,3337,2163,5389,545793,4,192,0
5,829,583,4150,35149,1,112,0
53,15049,1256,24058,160307,12,1072,0
6,977,613,566,30145,2,132,0
5,829,583,204,993601,1,112,0
15,2030,628,1466,408359,5,312,0
9,1115,571,2878,293746,2,192,0
149,21011,1289,41002,87443,12,3328,0
17,1701,338,5702,173081,6,352,0
50,9087,698,4067,913152,26,1012,0
6,922,571,204,771267,2,132,0
7,995,571,2181,50626,2,152,0
7,988,571,206,204943,2,164,0
22,4884,1675,2878,336453,6,452,0
425,43877,1214,11350,874122,80,8812,0
14,4087,708,4290,602123,6,292,0
18,10737,4559,4290,130478,7,372,0
19,3223,811,2878,955941,4,404,0
14,3369,1425,2856,762562,7,292,0
8,1097,626,204,337748,2,172,0
26,2730,571,2878,884558,6,544,0
14,2011,571,2878,382916,5,292,0
21,2534,619,2171,361523,6,432,0
14,2060,643,2097,525512,3,292,0
8,1103,632,208,309238,2,172,0
5,817,571,2878,128095,1,112,0
12,1349,275,3747,466588,5,252,0
12,1756,682,2335,271184,5,252,0
1,66,66,66,67613,0,32,0
11,1384,626,7089,787304,2,232,0
5,817,571,4067,524707,1,112,0
9,1183,571,4576,519890,2,204,0
465,2976688,8526,2878,443946,424,9312,0
